Number of path segments
10
Mode    x       y     z   pmod    param
1       0.0262  0.13027692  0.0254   0         1e-6
0       0.0262  0.03126154  0.0254   2920.72   0.008
1       0.0512  0.13027692  0.0254   0         347.3
0       0.0512  0.03126154  0.0254   2882.07   0.015
1       0.0762  0.13027692  0.0254   0         353.227
0       0.0762  0.03126154  0.0254   6333.84   0.022
1       0.1012  0.13027692  0.0254   0         355.382
0       0.1012  0.03126154  0.0254   9786.25   0.022
1       0.1262  0.13027692  0.0254   0         455.382
0       0.1262  0.03126154  0.0254   2964.03   0.022
